stem	rarity (-1 == wasn\'t in corpora, lower is more rare)	total corpora words	first word to make stem
imponent	1846	11622	imponente
riz	1855	11622	rizado
agud	1924	11622	aguda
ocas	1956	11622	ocasos
hoguer	2009	11622	hogueras
ancian	2013	11622	ancianos
malabar	2041	11622	malabarista
abol	2103	11622	abolir
aull	2130	11622	aulló
chamusc	2144	11622	chamuscado
calcin	2162	11622	calcinada
yegu	2247	11622	yegua
uñas	2269	11622	uñas
esmalt	2270	11622	esmalte
prescind	2280	11622	prescindir
evoc	2292	11622	evocaba
exili	2300	11622	exiliado
buey	2337	11622	buey
ah	2340	11622	Ah
rojiz	2349	11622	rojiza
espi	2361	11622	espía
colg	2373	11622	colgados
princes	2379	11622	princesa
flech	2429	11622	flechas
onde	2431	11622	ondeaban
frunc	2443	11622	fruncido
ceñ	2444	11622	ceño
tortug	2467	11622	tortuga
festin	2547	11622	festines
nefast	2560	11622	nefasta
querran	2623	11622	querrán
maz	2714	11622	Maz
cav	2819	11622	cavada
sonreir	2920	11622	sonreír
polvorient	2930	11622	polvoriento
sacerdot	3004	11622	sacerdote
amos	3028	11622	Amos
dor	3123	11622	dorado
alzo	3145	11622	alzó
habran	3162	11622	habrán
jurament	3185	11622	juramento
empin	3220	11622	empinado
elij	3259	11622	elijan
incans	3279	11622	incansable
vendran	3336	11622	Vendrán
tat	3346	11622	Tato
talon	3392	11622	talones
recompens	3405	11622	recompensas
incuestion	3601	11622	incuestionable
bastion	3758	11622	Bastión
caotic	3814	11622	caótico
pre	3862	11622	Pree
valdr	3881	11622	valdría
bondad	3920	11622	Bondadosos
borrach	3950	11622	borracho
amad	3999	11622	amado
ballest	4289	11622	ballestas
arco	4435	11622	arco
moc	4444	11622	mocos
abrieron	4462	11622	abrieron
coj	4479	11622	cojáis
eli	4556	11622	Elia
audaz	4602	11622	Audaz
provision	4727	11622	provisiones
medianoch	4736	11622	medianoche
aferr	4834	11622	aferró
teñ	4878	11622	teñida
arrug	4880	11622	Arrugó
regaz	4892	11622	regazo
echab	4894	11622	Echaba
vag	4907	11622	vagaban
oso	4909	11622	oso
cuern	4910	11622	cuernos
alzab	4926	11622	alzaban
entristec	4931	11622	entristecía
mantequill	4933	11622	mantequilla
musl	4938	11622	muslos
sangrient	4952	11622	sangriento
cabr	4964	11622	cabras
paus	4967	11622	pausa
trag	4971	11622	trago
sacud	4996	11622	sacudió
hiler	5005	11622	hileras
insinu	5014	11622	insinuando
doncell	5022	11622	doncellas
ovej	5023	11622	ovejas
brusc	5031	11622	brusca
rabi	5076	11622	rabia
doscient	5101	11622	Doscientos
infam	5112	11622	infame
intrig	5122	11622	intrigante
preven	5169	11622	prevenida
apar	5206	11622	aparearé
diminut	5208	11622	diminutas
persegu	5210	11622	perseguía
botin	5235	11622	botín
oir	5252	11622	oír
oye	5253	11622	oye
eras	5265	11622	eras
huy	5268	11622	huya
hart	5331	11622	hartando
apag	5336	11622	apagar
reci	5340	11622	recio
rec	5359	11622	recaía
abras	5367	11622	abrasó
obsequi	5389	11622	obsequios
estir	5429	11622	estiraban
replic	5453	11622	replicó
sombrer	5477	11622	sombrero
retroced	5479	11622	retrocedió
intact	5490	11622	intacta
negacion	5503	11622	negación
reput	5521	11622	reputación
esclav	5534	11622	esclavos
oscurec	5619	11622	oscurecido
aterr	5625	11622	aterradora
diecis	5667	11622	dieciséis
arrop	5753	11622	arropada
estud	5774	11622	estudió
disimul	5858	11622	disimulaba
lon	5870	11622	lona
destrez	5872	11622	destreza
impotent	5885	11622	impotente
trot	5897	11622	trote
lastim	5898	11622	Lástima
interrump	5928	11622	interrumpió
feroc	5929	11622	ferocidad
dialect	5944	11622	dialecto
report	5971	11622	reportará
insistent	6169	11622	insistencia
explor	6183	11622	exploradores
cim	6223	11622	cima
titan	6282	11622	Titán
sobresalt	6298	11622	sobresalto
simon	6329	11622	Simon
valer	6361	11622	valeroso
decen	6398	11622	decenas
viol	6515	11622	violará
dudos	6565	11622	dudosa
sonr	6660	11622	Sonrió
amabl	6671	11622	amable
desnud	6679	11622	desnudas
tend	6681	11622	tendió
huid	6697	11622	huido
suplic	6714	11622	suplicado
melancol	6716	11622	melancólico
olor	6737	11622	olor
sudor	6763	11622	sudor
grues	6766	11622	gruesa
sagr	6788	11622	sagrada
arañ	6796	11622	arañaba
tus	6800	11622	tus
cancion	6806	11622	canciones
hum	6816	11622	humo
tembl	6817	11622	temblaba
sabidur	6820	11622	sabiduría
delic	6827	11622	delicada
querr	6835	11622	Querréis
prend	6838	11622	prendió
virg	6868	11622	virgen
inspir	6871	11622	inspira
huir	6878	11622	huir
nariz	6885	11622	nariz
parient	6888	11622	parientes
pobl	6889	11622	poblados
aplast	6916	11622	aplastar
desparram	6928	11622	desparramaron
unen	6969	11622	unen
cuell	7016	11622	cuello
excepcional	7041	11622	excepcional
prisioner	7065	11622	prisioneros
voc	7078	11622	voces
sabr	7081	11622	sabrías
concili	7088	11622	conciliador
glorios	7134	11622	gloriosa
quinient	7152	11622	quinientos
traicion	7169	11622	traición
tron	7224	11622	trono
bot	7236	11622	botas
fortalez	7264	11622	Fortaleza
describ	7271	11622	describís
despleg	7286	11622	desplegaron
valient	7292	11622	valiente
retom	7308	11622	retomado
pabellon	7326	11622	pabellón
cal	7354	11622	cálido
mentir	7365	11622	mentiroso
vulner	7370	11622	vulnerable
elig	7383	11622	eligieran
inquiet	7389	11622	inquieta
vel	7403	11622	velar
coll	7410	11622	collar
treint	7439	11622	treinta
copi	7444	11622	copia
mang	7461	11622	manga
depris	7483	11622	deprisa
haran	7524	11622	harán
cuerv	7531	11622	Cuervos
cor	7544	11622	coro
dispers	7554	11622	disperso
supervision	7556	11622	supervisión
triplic	7578	11622	triplico
escam	7643	11622	escamosa
llor	7686	11622	llorado
troz	7708	11622	trozo
camell	7710	11622	camello
comic	7715	11622	cómicos
cruel	7716	11622	crueles
carnic	7733	11622	carnicería
muñec	7758	11622	muñecas
sincer	7767	11622	sinceridad
nervios	7774	11622	nervioso
asust	7797	11622	asustó
reconstru	7800	11622	reconstruir
guerrer	7827	11622	guerreros
empiez	7829	11622	Empiezo
disc	7830	11622	discos
rend	7875	11622	rendido
infant	7901	11622	infantería
gam	7902	11622	gama
idiom	7904	11622	idioma
indici	7911	11622	indicio
indecis	7929	11622	indecisa
entraron	7971	11622	entraron
sabor	7976	11622	sabor
docen	8010	11622	docena
manch	8039	11622	manchas
cuenc	8041	11622	cuenco
echo	8060	11622	echó
chiquill	8081	11622	chiquilla
barril	8088	11622	barril
brind	8090	11622	brindaremos
estaran	8121	11622	estarán
os	8140	11622	os
pint	8174	11622	pintadas
cinturon	8175	11622	cinturón
decepcion	8176	11622	decepcionada
gris	8195	11622	Gris
perr	8196	11622	perros
repent	8225	11622	repente
nub	8227	11622	nube
ranci	8231	11622	rancio
bellez	8249	11622	belleza
torment	8255	11622	Tormenta
roz	8262	11622	rozó
rez	8269	11622	rezar
honr	8273	11622	honrada
ruin	8287	11622	ruinas
plag	8292	11622	plagadas
inocent	8319	11622	inocencia
dign	8324	11622	dignos
verl	8326	11622	verla
cortes	8330	11622	cortés
hierr	8335	11622	hierro
bosqu	8336	11622	bosque
molest	8339	11622	molestará
suav	8349	11622	suave
polv	8359	11622	polvo
esplend	8372	11622	espléndida
alivi	8377	11622	aliviara
cap	8378	11622	capas
rang	8379	11622	rango
saqu	8383	11622	saque
vet	8384	11622	vete
cai	8396	11622	caía
volc	8404	11622	volcó
primaver	8449	11622	primavera
sint	8456	11622	sintió
peculiar	8465	11622	peculiares
leon	8474	11622	león
pies	8478	11622	pies
esten	8486	11622	estén
ave	8492	11622	ave
rig	8495	11622	rígido
riend	8508	11622	riendas
cup	8518	11622	cupiera
bienven	8530	11622	bienvenida
intervin	8542	11622	intervino
desped	8555	11622	despedida
pech	8613	11622	pecho
suspir	8628	11622	suspiros
gemel	8635	11622	gemela
gord	8638	11622	gorda
rod	8643	11622	rodearía
lengu	8647	11622	lengua
sabi	8653	11622	Sabios
vac	8668	11622	vacía
carn	8678	11622	carne
pal	8687	11622	pálida
eres	8689	11622	eres
mediod	8694	11622	mediodía
plac	8695	11622	placer
perdon	8700	11622	Perdona
salg	8708	11622	salga
curi	8719	11622	curiosidad
aceit	8726	11622	aceitado
brill	8729	11622	brilló
usad	8734	11622	usado
exclam	8741	11622	exclamó
dam	8751	11622	dame
guardi	8754	11622	Guardia
ton	8764	11622	tono
loc	8768	11622	loca
cay	8777	11622	cayó
cervez	8797	11622	cerveza
tension	8835	11622	tensión
garr	8847	11622	garras
posesion	8875	11622	posesiones
cen	8878	11622	cenar
tra	8879	11622	trae
talant	8887	11622	talante
promet	8906	11622	prometía
ti	8907	11622	ti
liderazg	8908	11622	liderazgo
nieg	8911	11622	niegas
adult	8925	11622	adultos
examin	8927	11622	examinar
misteri	8948	11622	misterioso
muer	8957	11622	mueran
bigot	8959	11622	bigotes
oid	8960	11622	oídos
nobl	8962	11622	nobles
arrastr	8975	11622	arrastraron
arrog	8997	11622	arrogancia
dars	9016	11622	darse
conquist	9025	11622	conquistar
imperi	9034	11622	imperio
princip	9035	11622	príncipe
resist	9055	11622	resistir
iban	9062	11622	iban
sensacion	9066	11622	sensación
dier	9075	11622	diera
arrebat	9078	11622	arrebató
orgull	9089	11622	orgullosos
mant	9102	11622	manto
cuartel	9114	11622	cuartel
rubi	9142	11622	rubio
sobreviv	9169	11622	sobrevivan
hierb	9181	11622	hierba
inviern	9195	11622	invierno
atrap	9198	11622	atrapado
rop	9205	11622	ropa
sorpres	9216	11622	sorpresa
agot	9220	11622	agotaban
rodill	9221	11622	rodilla
espectacul	9227	11622	espectáculo
ojo	9240	11622	Ojo
inclin	9250	11622	inclinó
desesper	9251	11622	desesperado
moren	9256	11622	moreno
lanzamient	9258	11622	lanzamiento
ala	9262	11622	ala
encend	9263	11622	encendiendo
encaj	9267	11622	encaje
trist	9296	11622	triste
culp	9304	11622	culpa
ram	9305	11622	ramas
fam	9314	11622	fama
amarg	9332	11622	amargado
espad	9333	11622	espadas
engañ	9346	11622	engañar
voy	9371	11622	voy
devolv	9379	11622	devolvería
rot	9385	11622	rota
comand	9391	11622	comandante
cadaver	9393	11622	cadavéricas
hach	9414	11622	hachas
dient	9421	11622	dientes
menud	9422	11622	menudo
bes	9423	11622	besar
derram	9429	11622	derramar
dolor	9433	11622	dolor
piern	9434	11622	piernas
cog	9435	11622	Coge
jur	9437	11622	Jurasteis
sonris	9439	11622	sonrisa
puñ	9442	11622	puños
bonit	9454	11622	bonitas
espos	9464	11622	esposa
intens	9468	11622	intenso
vin	9476	11622	vino
carec	9480	11622	carecen
disfrut	9482	11622	disfrutaba
vest	9488	11622	vestía
gest	9497	11622	gesto
luc	9521	11622	Lucían
detuv	9525	11622	detuvo
caball	9535	11622	caballo
temor	9548	11622	temor
merluz	9562	11622	merluza
capitan	9582	11622	capitanes
sep	9584	11622	sepáis
rar	9594	11622	rara
cant	9596	11622	cantarle
hermos	9597	11622	hermosa
costumbr	9598	11622	costumbre
acas	9599	11622	Acaso
dir	9602	11622	diría
rostr	9605	11622	rostro
cubiert	9609	11622	cubierto
hond	9614	11622	hondas
solitari	9619	11622	solitario
drog	9621	11622	Drogo
cualqu	9626	11622	cualquiera
apreci	9627	11622	aprecio
salvaj	9632	11622	salvaje
empuj	9635	11622	empujando
iran	9637	11622	irán
debaj	9642	11622	debajo
proteg	9645	11622	protegerla
dan	9651	11622	dan
entro	9660	11622	entró
escolt	9663	11622	escoltas
otorg	9666	11622	otorgado
refugi	9667	11622	refugiéis
pong	9669	11622	ponga
ocult	9673	11622	ocultara
ident	9674	11622	idénticos
divid	9681	11622	dividida
moned	9682	11622	monedas
tiend	9686	11622	tienda
fals	9689	11622	falsos
alegr	9692	11622	alegra
instant	9694	11622	instante
jamas	9695	11622	jamás
lagrim	9697	11622	lágrimas
cubr	9705	11622	cubrían
fidel	9707	11622	fidelidad
confi	9724	11622	confiar
anill	9736	11622	anillas
plum	9741	11622	plumas
tare	9744	11622	tarea
cortin	9745	11622	cortina
aprend	9746	11622	aprendía
usar	9752	11622	usaremos
arma	9765	11622	arma
tonel	9767	11622	toneles
vient	9777	11622	vientos
pie	9782	11622	pie
glori	9790	11622	gloria
tendran	9792	11622	tendrán
tamañ	9796	11622	tamaña
dorm	9814	11622	dormir
ded	9816	11622	dedo
escuch	9820	11622	Escucharé
enseñ	9821	11622	enseñado
grit	9822	11622	gritos
som	9823	11622	Somos
bronc	9841	11622	bronce
estim	9845	11622	estima
prest	9846	11622	prestaba
transmit	9848	11622	transmitir
insult	9849	11622	insultarme
pen	9858	11622	pena
feliz	9859	11622	feliz
cincuent	9860	11622	cincuenta
mezcl	9862	11622	mezcladas
pel	9864	11622	pelear
equivoc	9865	11622	equivocado
amor	9867	11622	amor
encim	9870	11622	encima
etern	9883	11622	Eternos
castill	9900	11622	castillos
des	9901	11622	desean
sospech	9902	11622	sospechas
gir	9906	11622	girar
piedr	9907	11622	piedra
excelent	9913	11622	excelente
despert	9923	11622	despertar
busqued	9927	11622	búsqueda
beb	9941	11622	bebió
robert	9942	11622	Robert
asesin	9943	11622	asesino
captur	9945	11622	capturado
bord	9956	11622	borde
nacimient	9976	11622	nacimiento
comprend	9977	11622	comprende
mor	9982	11622	moriré
acontec	9994	11622	acontecimiento
pacif	9996	11622	Pacífico
vio	10002	11622	vio
vuel	10004	11622	vuelo
lin	10005	11622	lino
dieron	10007	11622	dieron
comet	10016	11622	cometido
sombr	10036	11622	sombra
silenci	10037	11622	silencio
oest	10054	11622	oeste
estoy	10055	11622	estoy
jaim	10057	11622	Jaime
terribl	10070	11622	terrible
escap	10072	11622	escapar
pos	10073	11622	posado
inteligent	10075	11622	inteligencia
caballer	10078	11622	caballero
abri	10079	11622	abrió
voz	10089	11622	voz
pobr	10093	11622	pobres
amist	10105	11622	amistad
vigil	10108	11622	vigilando
brillant	10117	11622	brillantes
separ	10123	11622	separaban
barb	10134	11622	barba
ir	10136	11622	ir
altos	10150	11622	altos
fueg	10153	11622	fuegos
azul	10163	11622	azul
dig	10165	11622	digo
enorm	10166	11622	enorme
caer	10168	11622	caerá
ido	10175	11622	ido
quit	10180	11622	quitas
adelant	10194	11622	adelantaron
apart	10199	11622	apartar
aport	10212	11622	aporta
convoc	10218	11622	convocad
semej	10219	11622	semejante
vol	10225	11622	voló
impon	10229	11622	imponía
adel	10232	11622	adelante
suert	10233	11622	suerte
altur	10237	11622	altura
torr	10238	11622	torres
mont	10245	11622	montados
enemig	10248	11622	enemigos
chic	10252	11622	chica
mied	10253	11622	miedo
rob	10259	11622	robaran
poder	10260	11622	poderosas
siguient	10261	11622	siguiente
sold	10264	11622	soldados
corazon	10269	11622	corazón
romp	10275	11622	rompió
signif	10279	11622	significa
soy	10289	11622	soy
defiend	10291	11622	defienden
acerc	10292	11622	acercan
conviert	10293	11622	Convierto
permanec	10295	11622	permaneció
castr	10297	11622	castrar
enter	10300	11622	enteros
error	10305	11622	error
cien	10310	11622	cien
confianz	10311	11622	confianza
bell	10324	11622	bellas
eh	10326	11622	eh
fri	10332	11622	fríos
recien	10333	11622	recién
her	10334	11622	héroes
oscur	10335	11622	oscuro
ejercit	10338	11622	ejército
sean	10339	11622	sean
cruz	10341	11622	cruzaba
mer	10342	11622	Mero
har	10343	11622	Haríais
opin	10348	11622	opináis
depend	10352	11622	depender
dañ	10359	11622	daño
palm	10360	11622	palmadas
suy	10363	11622	suya
batall	10368	11622	batalla
invit	10378	11622	Invitad
entrar	10379	11622	entrar
amarill	10388	11622	amarillo
col	10390	11622	colarse
mur	10393	11622	muros
mat	10394	11622	matéis
extend	10396	11622	extendía
volunt	10398	11622	voluntad
atac	10399	11622	atacar
boc	10400	11622	boca
seran	10404	11622	Serán
ciel	10406	11622	cielos
rap	10410	11622	rápido
abrir	10411	11622	abrirá
doc	10418	11622	doce
delant	10419	11622	delante
piens	10420	11622	Piensa
profund	10428	11622	profunda
tu	10437	11622	tu
sangr	10438	11622	sangre
pur	10443	11622	pura
arte	10446	11622	arte
recorr	10451	11622	recorrieron
correspond	10452	11622	corresponde
crec	10460	11622	creciendo
edad	10462	11622	edad
mensaj	10467	11622	mensaje
hag	10471	11622	haga
mis	10475	11622	mis
just	10481	11622	justo
riesg	10482	11622	riesgo
estrell	10497	11622	estrellas
peor	10498	11622	peor
siqu	10503	11622	siquiera
terc	10514	11622	tercer
atras	10516	11622	atrás
